run,repetition,Module,dischargeTime:last
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.sink.energyStorage,810.42165969316
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[0].energyStorage,822.00967998437
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[1].energyStorage,817.83227492939
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[2].energyStorage,815.98074007843
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[3].energyStorage,826.322206879
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[4].energyStorage,812.45888807018
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[5].energyStorage,813.6609328864
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[6].energyStorage,821.08392603886
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[7].energyStorage,814.28386360262
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[8].energyStorage,808.12069188263
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[9].energyStorage,818.14238910738
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[10].energyStorage,822.00127428333
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[11].energyStorage,817.98304695681
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[12].energyStorage,819.28293051933
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[13].energyStorage,813.32693885085
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[14].energyStorage,823.50785006801
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[15].energyStorage,824.99084601049
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[16].energyStorage,816.61495937411
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[17].energyStorage,810.2056916596
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[18].energyStorage,810.08764101022
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[19].energyStorage,821.19905675012
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[20].energyStorage,827.31982743138
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[21].energyStorage,817.15423051756
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[22].energyStorage,806.8545199604
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[23].energyStorage,816.17281518928
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[24].energyStorage,819.2385679368
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[25].energyStorage,824.97210189939
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[26].energyStorage,809.76602653597
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[27].energyStorage,808.36782038556
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[28].energyStorage,817.11377669621
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[29].energyStorage,845.02680515603
oneHundredNodes-0-20210531-22:25:08-5364,0,TestNet.source[30].energyStorage,814.20454246774
